"","Mmus_C57-6T_LVR_BSL_Rep1_B1","Mmus_C57-6T_LVR_BSL_Rep2_B2","Mmus_C57-6T_LVR_BSL_Rep3_B3","Mmus_C57-6T_LVR_GC_Rep1_G2","Mmus_C57-6T_LVR_GC_Rep2_G3","Mmus_C57-6T_LVR_GC_Rep3_G5","Mmus_C57-6T_LVR_FLT_Rep1_F1","Mmus_C57-6T_LVR_FLT_Rep2_F2","Mmus_C57-6T_LVR_FLT_Rep3_F4"
"ENSMUSG00000035493",2273.28591203571,2444.21644952435,1618.60869571518,1786.99789788536,1981.27924057817,2179.68920693109,1879.47921431651,1481.44991053173,1368.26904672589
"ENSMUSG00000035495",598.230811798125,514.948383872593,574.241449833721,512.483174954763,559.481737626238,590.473771613908,646.089174046314,510.557333606396,552.389928182383
"ENSMUSG00000035498",169.434460627768,157.604902399211,241.945828768016,182.701006386291,160.290777626057,193.050369024976,133.699843353713,126.063433038943,135.797341568376
"ENSMUSG00000035504",23800.2707324073,22699.6743618815,29738.0118955475,31419.5848079599,27285.1614815328,16378.9683408768,24120.1369344704,30594.5398969978,31675.3932085371
"ENSMUSG00000035505",213.295773381544,228.634172893791,285.60092738023,176.349530924223,204.824753205592,155.221911223259,204.891159235854,203.757480442968,201.761409846753
"ENSMUSG00000035506",1.27976345964941,10.9692253464936,7.13239034513384,11.7217573432598,12.4916108988379,10.4583981818526,11.075021950974,19.0697540178745,14.9381112341982
"ENSMUSG00000035509",36.6594536655727,53.5310307748612,47.262231370317,58.2848915282706,33.5889504805579,39.4941547271826,51.1949385776492,63.4211970390669,69.7677413171755
"ENSMUSG00000035513",104.037592735399,78.2292867004008,63.8078961055297,22.6108330357254,63.9098151256621,56.0093008183507,58.9441149550711,38.43392244295,67.822877152426
"ENSMUSG00000035517",739.70085256242,743.538359686655,892.591019411568,823.467506756489,774.375938033252,883.866293662482,1204.33970111326,943.875015074806,871.031030989392
"ENSMUSG00000035521",617.967248421869,652.230782654136,768.459695002428,718.149382695064,690.641178306304,627.934406748855,650.772741111771,780.083716901863,834.163813216345
"ENSMUSG00000035529",247.789619112338,198.696322504004,200.513807752384,343.566324960108,274.731338019819,253.155171756044,308.777793221938,242.073760205731,227.530480024153
"ENSMUSG00000035530",11459.5483129245,9691.30320667414,11696.4540193625,8998.93187695447,10958.5800492426,7345.51029075547,7855.7173933247,10030.9453287432,10220.2282977652
"ENSMUSG00000035539",1.51732694901143,1.39078019590058,1.4995936205887,5.23112586990519,0,10.2567116927895,0,0,0
"ENSMUSG00000035540",170788.515423143,172624.256446087,178885.084467858,182566.427230939,176255.476678224,150573.648428335,170041.211908563,183881.086047592,190403.692485574
"ENSMUSG00000035545",2219.95632052512,2364.28897606814,1949.9068705761,2297.95288658796,2207.50627384314,3271.88385159403,3310.34794545603,2440.46236907236,2524.37705418759
"ENSMUSG00000035547",76.7639782848824,90.9586979344698,86.6518874713616,65.5438550182281,82.6062439972971,122.514775776895,100.866740236383,99.8407956716753,83.0470145300451
"ENSMUSG00000035559",389.677177380073,349.871890436681,350.585542945111,319.048347918679,308.83914817437,258.113092872576,286.471670159736,371.13462556781,359.664169115839
"ENSMUSG00000035561",2708.8642106318,2379.45826368467,2584.96101879686,2856.30514077234,2795.71284315156,2297.26860227861,3416.62106732522,3271.34533407307,2896.05933374122
"ENSMUSG00000035566",191.004596125027,161.90460462121,127.884050979388,250.843192001745,176.747636946861,174.271012922362,156.789011260843,187.000575660946,159.981644619155
"ENSMUSG00000035569",2562.13942356369,2554.43642180578,2265.51870332592,2620.56973111998,2445.2818110299,3036.50109000527,2434.98372490768,2762.39828855678,2701.17580118693
"ENSMUSG00000035572",687.854893331378,701.148128537019,815.913670679365,678.66539543815,647.974013316184,648.402698855502,670.473686650665,735.614756456215,765.018943474741
"ENSMUSG00000035575",797.464580948636,1008.79054957308,1075.39189120116,1041.08623122842,762.310966650092,996.699001309214,790.659238427913,860.285460228999,1032.88016013858
"ENSMUSG00000035576",2.79559802154042,2.51295096257593,8.79440026493774,9.7227428348979,3.02978247749115,2.3754491552378,1.24461857184933,0,1.95904137807358
"ENSMUSG00000035578",69.1368850446974,73.8460283817088,98.0347715039013,75.5743717974113,58.0438104111266,45.7246582581186,37.566649098906,64.3209257326713,41.370486380207
"ENSMUSG00000035585",943.066917127754,932.540931365484,820.87096292405,703.993762312951,713.450402061341,581.155955425833,702.822742502036,754.181975015381,734.398081069275
"ENSMUSG00000035595",59.163054135086,69.4509061036313,71.8072314077527,75.454881913326,75.7276881030311,53.0206928194851,43.6051226393003,65.2103646521348,67.9296825733535
"ENSMUSG00000035596",1170.06224371529,1273.468272987,1171.62420513275,1205.41113529122,1383.1059566574,1015.68602703603,1262.34553303066,1278.19271124607,1103.57011462553
"ENSMUSG00000035597",638.021761475836,662.007019889956,655.808045259438,766.812477432089,691.829976967956,822.645444502084,1014.78058590655,937.851129061501,785.398168499792
"ENSMUSG00000035601",134.855682488942,91.7866615646104,78.3717406292282,110.833371644019,103.718171920191,87.2825274331919,101.049649497993,94.6285657679826,122.459356394224
"ENSMUSG00000035614",394.339828659879,409.719451166686,491.473707588466,457.849372254023,436.139436677411,546.572511516259,450.965801830185,530.673828245,732.013136539071
"ENSMUSG00000035620",237.751846273543,244.890162792392,256.855513736794,267.812180891752,316.214888957419,313.736243961519,238.268097407564,289.580953053225,323.364500401535
"ENSMUSG00000035621",1804.12382320126,1694.23454142029,1723.36506373922,1308.78695157557,1694.52125545686,1490.42255459077,1758.60585886175,2344.60685882911,2341.04194952111
